"To","ES","fd","P_value","P_value_adjust"
"CYP2D6",0.3815022,2.69142477647261,0.00197143005817636,0.0151370927553039
"CYP2E1",0.4643957,2.90704763773557,0.0129142860838912,0.0598532869115507
"CYP2J2",0.45028484,3.22333771228992,0.00889368982888195,0.0450580860391423
"CYP4F11",0.39711747,2.50071303452466,0.00225043663570329,0.0165607012465084
"CYP4F22",0.4820482,Inf,0.0486214209066334,0.157706367256028
"CYP51A1",0.35950482,1.82700731713557,0.000825287857618556,0.00831636225754083
"CYP7A1",0.44557428,Inf,0.0188398182176694,0.0788287805274761
"CYP8B1",0.4695196,2.91086283324163,0.0155436748282159,0.068702172737024
"DBI",0.3295973,1.93135376471563,0.000596965015520056,0.00658405229316708
"DDHD1",0.46933287,2.03866848429422,0.0218303746736034,0.0886893512847215
"DECR1",0.09967426,2.51409956054867,7.40347195994353e-06,0.00048002915667553
"DECR2",0.41937536,2.9911001612632,0.00367847830870931,0.0236832018692127
"DGAT1",0.47305045,3.10574313368719,0.0250988716150765,0.0985438559198234
"DHCR24",0.024773374,3.26393356240632,1.59941363086728e-06,0.000213888252011189
"DHCR7",0.44084054,1.79575465772189,0.0100569583447342,0.0493922078154925
"EBP",0.3047064,Inf,0.00165224728578524,0.0135309339761803
"ECHS1",0.094476804,2.87587710310761,7.52895834205684e-06,0.000482834905625539
"ECI1",0.24824776,1.92969412481807,0.00012519994149932,0.002257467484506
"ECI2",0.045780137,3.57149091560345,1.95339850694763e-06,0.000239330908167865
"EHHADH",0.37851584,2.62337150474924,0.00161862927220016,0.0133375883161141
"EPHX2",0.34289026,2.50312863781855,0.000560840440765676,0.00632695042051823
"FABP1",0.3278772,3.32441207726973,0.00109010869084192,0.0101854551477646
"FABP4",0.41010466,2.28727364797114,0.00253682144056529,0.0181968138928015
"FASN",0.14423576,2.86147989561735,5.38193674189318e-05,0.00136548031407954
"FDPS",0.39387715,2.42292033707469,0.0021833751023369,0.0161837006719406
"FDX1",0.27259853,2.15776886864025,0.000325912699363767,0.00434031870791706
"FDX2",0.4393906,1.99756782807287,0.00723723093041529,0.0390056971808025
"FDXR",0.37260288,2.21812124289079,0.00179981055043023,0.0142982474297174
"GBA",0.46533737,0.973576525713176,0.0215876232842888,0.0879815580075235
